0,0
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,32
20,-1
21,37
22,-1
23,-1
24,33
25,-1
26,-1
27,1
28,2
29,1
30,-1
31,1
32,-1
33,38
34,15
35,3
36,-1
37,-1
38,-1
39,16
40,3
41,-1
42,-1
43,17
44,-1
45,-1
46,18
47,-1
48,-1
49,7
50,11
51,-1
52,4
53,-1
54,-1
55,4
56,4
57,19
58,3
59,20
60,21
61,8
62,-1
63,12
64,-1
65,-1
66,5
67,-1
68,5
69,-1
70,-1
71,-1
72,-1
73,-1
74,9
75,-1
76,13
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,-1
85,6
86,-1
87,-1
88,-1
89,-1
90,-1
91,10
92,-1
93,14
94,-1
95,-1
96,6
97,6
98,-1
99,-1
100,6
101,-1
102,6
103,6
104,6
105,6
106,36
107,6
108,-1
109,-1
110,6
111,-1
112,-1
113,16
114,17
115,17
116,18
117,18
118,18
119,18
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,15
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,-1
165,35
166,35
167,35
168,35
169,35
170,-1
171,35
172,22
173,23
174,24
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,34
183,22
184,-1
185,-1
186,-1
187,24
188,-1
189,-1
190,-1
191,-1
192,24
193,-1
194,-1
195,-1
196,-1
197,24
198,-1
199,-1
200,24
201,-1
202,33
203,-1
204,-1
205,24
206,25
207,25
208,25
209,26
210,27
211,28
212,26
213,26
214,26
215,27
216,27
217,27
218,28
219,-1
220,28
221,-1
222,-1
223,-1
224,29
225,30
226,31
227,-1
228,-1
229,-1
230,30
231,30
232,31
233,-1
234,-1
235,-1
236,-1
237,-1
238,36
239,36
240,36
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,38
282,-1
283,-1
284,-1
285,-1
286,-1
287,5
288,5
289,2
290,2
291,3
292,3
293,4
294,4
295,15
296,15
297,16
298,16
299,17
300,17
301,18
302,18
303,15
304,16
305,16
306,17
307,18
308,-1
309,30
310,-1
311,30
312,-1
313,-1
314,-1
315,-1
316,-1
317,-1
318,-1
319,0
320,-1
321,-1
322,33
323,33
324,25
325,-1
326,-1
327,15
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,-1
346,-1
347,-1
348,-1
349,-1
350,-1
351,-1
352,-1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,-1
364,-1
365,-1
366,-1
367,-1
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,-1
376,-1
377,-1
378,-1
379,-1
380,-1
381,-1
382,-1
383,-1
384,-1
385,-1
386,-1
387,36
388,36
389,-1
390,-1
391,-1
392,-1
393,-1
394,-1
395,-1
396,-1
397,-1
398,-1
399,-1
400,-1
401,-1
402,-1
403,-1
404,-1
405,-1
406,-1
407,-1
408,-1
409,-1
410,-1
411,1
412,-1
413,-1
414,-1
415,33
416,33
417,-1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,38
426,38
427,38
428,38
429,38
430,2
431,2
432,2
433,3
434,3
435,3
436,4
437,7
438,7
439,7
440,11
441,11
442,7
443,4
444,4
445,4
446,4
447,8
448,8
449,8
450,8
451,12
452,12
453,5
454,5
455,5
456,5
457,5
458,5
459,9
460,9
461,9
462,13
463,13
464,-1
465,6
466,6
467,6
468,10
469,10
470,10
471,10
472,14
473,14
474,15
475,16
476,17
477,17
478,17
479,17
480,17
481,18
482,18
483,18
484,18
485,-1
486,-1
487,-1
488,-1
489,-1
490,-1
491,-1
492,-1
493,22
494,22
495,23
496,23
497,23
498,24
499,24
500,-1
501,-1
502,29
503,29
504,30
505,30
506,30
507,30
508,31
509,31
510,31
511,31
512,31
513,31
514,-1
515,34
516,32
517,32
518,37
519,-1
520,-1
521,-1
522,-1
523,-1
524,-1
525,-1
526,-1
527,-1
528,-1
529,-1
530,-1
531,-1
532,-1
533,-1
534,-1
535,6
536,6
537,34
538,-1
539,-1
540,-1
541,-1
542,-1
543,-1
544,-1
545,-1
546,-1
547,-1
548,-1
549,-1
550,-1
551,-1
552,-1
553,-1
554,-1
555,-1
556,-1
557,-1
558,-1
559,-1
560,-1
561,-1
562,-1
563,-1
564,-1
565,-1
566,-1
567,-1
568,-1
569,-1
570,-1
571,-1
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,-1
579,-1
580,-1
581,-1
582,-1
583,-1
584,-1
585,-1
586,-1
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-1
595,-1
596,-1
597,-1
598,-1
599,-1
